E(X) LP,E(Y) LP,E(Z) LP,E(X) HP,E(Y) HP,E(Z) HP,Var HP X,Var HP Y,Var HP Z,MinMax X,MinMax Y,MinMax Z
305.55,2015.31,160.97,23.64,-51.85,-0.44,99293.72,370309.96,180804.78,1567.64,2719.38,2098.46
305.87,2014.61,161.02,18.02,-56.00,2.31,99885.93,377090.34,182502.45,1567.64,2719.38,2098.46
306.17,2013.93,161.15,16.89,-55.12,6.84,100203.33,375688.67,185188.08,1567.64,2719.38,2098.46
306.49,2013.38,161.34,17.82,-46.99,11.23,99878.15,365091.93,187843.44,1567.64,2719.38,2098.46
306.83,2013.07,161.63,19.42,-32.27,17.05,99219.29,351955.97,192094.24,1567.64,2719.38,2098.46
307.25,2013.17,162.03,24.05,-6.30,23.41,98393.84,346181.53,197717.17,1567.64,2719.38,2098.46
307.69,2013.80,162.38,25.84,26.62,20.81,98422.75,353051.65,196821.55,1567.64,2719.38,2098.46
308.10,2014.88,162.78,23.35,54.32,23.86,99146.45,371631.37,199400.66,1567.64,2719.38,2098.46
308.59,2016.10,163.32,28.66,63.26,32.91,98879.98,380194.94,214599.33,1567.64,2719.38,2098.46
309.13,2017.05,164.05,31.51,46.22,44.62,100077.97,373112.93,232980.10,1567.64,2719.38,2098.46
309.81,2017.55,165.16,40.16,18.70,67.87,101228.64,361311.28,242330.83,1567.64,2719.38,2098.46
310.56,2017.89,166.30,44.74,8.10,70.01,101076.96,334037.90,245839.52,1567.64,2342.70,2098.46
311.12,2018.34,167.20,32.96,15.33,54.91,99549.39,348526.76,221359.05,1567.64,2342.70,1940.72
311.39,2019.12,167.76,14.97,35.96,33.56,105062.85,344449.91,204377.75,1567.64,2342.70,1940.72
311.20,2019.99,168.08,-13.72,41.49,19.14,115844.18,342535.16,188837.15,1670.97,2342.70,1940.72
310.90,2020.67,168.39,-20.45,29.78,18.47,114862.72,341558.76,188747.55,1670.97,2342.70,1940.72
310.70,2021.04,168.67,-14.58,9.91,16.14,111151.57,354542.74,189722.60,1670.97,2342.70,1940.72
310.64,2021.29,168.82,-5.72,2.68,8.57,101525.83,359540.95,191976.45,1670.97,2342.70,1940.72
310.62,2021.41,168.78,-3.32,-5.18,-3.81,100028.05,360703.39,197892.74,1670.97,2342.70,1940.72
310.47,2021.44,168.65,-11.24,-11.03,-9.03,101081.27,350860.94,199254.26,1670.97,2342.70,1940.72
310.28,2021.60,168.68,-14.03,-2.62,0.63,101803.74,359357.04,200572.16,1670.97,2342.70,1940.72
310.11,2021.86,169.00,-12.14,3.11,18.97,100542.95,355179.48,194510.35,1670.97,2342.70,1898.40
310.05,2022.18,169.45,-5.62,7.54,27.06,97394.84,349855.21,193228.92,1670.97,2342.70,1898.40
310.07,2022.38,169.79,-1.11,-0.32,20.18,97659.50,354716.60,192797.12,1670.97,2342.70,1898.40
310.12,2022.35,169.90,0.99,-14.64,5.63,98670.50,349965.62,186517.52,1670.97,2342.70,1898.40
310.13,2022.27,169.92,-1.14,-17.91,-0.01,97552.24,349402.42,185641.36,1670.97,2342.70,1898.40
310.04,2022.30,169.93,-7.52,-11.17,-0.29,95445.08,345929.65,185670.89,1670.97,2342.70,1898.40
309.81,2022.39,170.00,-16.28,-7.14,2.93,92836.41,343280.70,183802.36,1670.97,2342.70,1898.40
309.47,2022.48,170.11,-22.85,-7.29,6.12,90179.25,343324.48,182400.84,1670.97,2342.70,1898.40
