E(X) LP,E(Y) LP,E(Z) LP,E(X) HP,E(Y) HP,E(Z) HP,Var HP X,Var HP Y,Var HP Z,MinMax X,MinMax Y,MinMax Z
481.28,1878.77,542.27,-69.42,4.51,-31.85,336060.11,1047777.65,410726.41,2699.88,6037.98,3012.89
480.42,1879.06,542.00,-56.38,6.36,-20.84,346318.64,1045303.01,397166.11,2699.88,6037.98,3012.89
479.87,1879.69,541.85,-37.83,27.45,-12.77,352218.79,1042517.69,380674.97,2699.88,6037.98,3012.89
479.46,1880.82,541.99,-28.53,58.35,5.65,345182.92,1050126.30,365801.93,2699.88,6037.98,3012.89
479.05,1882.20,542.31,-28.64,73.69,16.61,345260.63,1042023.21,363629.33,2699.88,6037.98,3012.89
478.65,1883.51,542.63,-27.39,69.94,16.32,345620.77,1044587.00,363623.57,2699.88,6037.98,3012.89
478.44,1884.81,543.02,-16.25,69.19,20.61,351453.15,1045094.29,362975.80,2699.88,6037.98,3012.89
478.55,1886.09,543.42,3.61,67.66,21.84,357355.38,1046277.61,362937.58,2699.88,6037.98,3012.89
478.95,1887.24,543.72,22.02,59.47,14.97,359790.09,1051731.04,365224.23,2699.88,6037.98,3012.89
479.65,1888.24,543.81,40.45,50.74,2.18,365635.31,1051403.38,368137.58,2699.88,6037.98,3012.89
480.57,1889.16,543.53,54.24,44.98,-20.99,364920.36,1052411.41,366257.57,2699.88,6037.98,3012.89
481.72,1890.09,542.88,68.70,46.25,-43.66,355854.26,1051570.55,365211.13,2699.88,6037.98,3012.89
482.98,1891.00,541.89,75.35,44.81,-64.80,351146.16,1052705.67,358145.26,2699.88,6037.98,3012.89
484.25,1891.80,540.64,75.94,37.62,-81.84,350861.64,1055654.57,344869.79,2699.88,6037.98,3012.89
485.40,1892.48,539.13,68.79,30.38,-97.16,351693.43,1060760.85,333283.08,2699.88,6037.98,3012.89
486.33,1893.05,537.40,55.07,23.42,-111.31,352253.61,1066987.21,322734.08,2699.88,6037.98,3012.89
487.04,1893.50,535.51,40.97,16.26,-120.96,352720.90,1067759.41,317920.64,2699.88,6037.98,3012.89
487.64,1893.84,533.50,34.28,9.19,-128.76,353001.98,1064754.79,314998.42,2699.88,6037.98,3012.89
488.40,1894.19,531.49,44.06,9.64,-128.58,352901.59,1065395.07,315104.63,2699.88,6037.98,3012.89
489.12,1894.71,529.87,41.62,20.60,-104.06,355748.25,1077817.75,346090.61,2699.88,6037.98,3012.89
489.74,1895.60,528.65,35.56,43.38,-79.45,364162.21,1090109.46,359758.84,2699.88,6037.98,3012.89
490.34,1896.84,527.92,34.69,65.01,-48.80,365499.89,1056548.14,373938.27,2699.88,6037.98,3012.89
491.04,1898.41,527.67,40.43,86.15,-19.14,357373.95,1003637.75,381010.39,2699.88,6037.98,3012.89
491.93,1900.14,527.71,52.52,95.46,-0.62,341684.38,985024.59,378540.15,2699.88,6037.98,3012.89
